condition,accuracy,macro_f1,micro_f1,weighted_f1,macro_auc,AUC_DIR,AUC_DM,AUC_INTJ,AUC_AS,F1_DIR,F1_DM,F1_INTJ,F1_AS,split
REAL_PLUS_NEAR,0.7294117647058823,0.5216548157724629,0.7294117647058823,0.7151932266119119,0.7049193674290596,0.6679438058748404,0.8128772635814889,0.7616959064327485,0.5771604938271605,0.8205128205128205,0.6470588235294118,0.3333333333333333,0.2857142857142857,1
REAL_PLUS_NEAR,0.7529411764705882,0.4129918981481481,0.7529411764705882,0.7051770152505447,0.7003682713339929,0.70242656449553,0.8631790744466801,0.6154970760233918,0.6203703703703703,0.859375,0.5925925925925926,0.2,0.0,2
REAL_PLUS_NEAR,0.7294117647058823,0.4600815850815851,0.7294117647058823,0.7073358014534485,0.6588701846534384,0.7369093231162197,0.852112676056338,0.6359649122807017,0.4104938271604939,0.8333333333333334,0.5454545454545454,0.4615384615384615,0.0,3
REAL_PLUS_NEAR,0.8,0.584095566318927,0.8,0.7746116419742263,0.7516524191642201,0.7835249042145593,0.8661971830985915,0.6593567251461987,0.6975308641975309,0.8852459016393442,0.6875,0.3636363636363636,0.4,4
REAL_PLUS_NEAR,0.7294117647058823,0.5250671550671551,0.7294117647058823,0.7068258277670042,0.7402025696334805,0.7458492975734354,0.8088531187122736,0.8011695906432748,0.6049382716049383,0.8253968253968254,0.48,0.4615384615384615,0.3333333333333333,5
REAL_PLUS_RANDOM,0.7176470588235294,0.508804328182886,0.7176470588235294,0.7037902827165022,0.6900868898948576,0.6558109833971902,0.8048289738430584,0.7441520467836257,0.5555555555555556,0.8067226890756303,0.6451612903225806,0.3333333333333333,0.25,1
REAL_PLUS_RANDOM,0.7294117647058823,0.4031746031746031,0.7294117647058823,0.6893370681605975,0.726492745205521,0.735632183908046,0.852112676056338,0.6330409356725146,0.6851851851851851,0.8412698412698413,0.5714285714285714,0.2,0.0,2
REAL_PLUS_RANDOM,0.6941176470588235,0.4460927004030452,0.6941176470588235,0.6881588999236057,0.6469718047254195,0.7528735632183907,0.8611670020120724,0.6374269005847952,0.3364197530864198,0.8103448275862069,0.5454545454545454,0.4285714285714285,0.0,3
REAL_PLUS_RANDOM,0.7764705882352941,0.5693404634581105,0.7764705882352941,0.7552731466918319,0.7530141385833766,0.7860791826309068,0.8651911468812876,0.672514619883041,0.6882716049382716,0.8666666666666667,0.6470588235294118,0.3636363636363636,0.4,4
REAL_PLUS_RANDOM,0.6941176470588235,0.4754224270353302,0.6941176470588235,0.6718532574320051,0.7570565812702389,0.7445721583652618,0.7977867203219317,0.8099415204678363,0.675925925925926,0.8064516129032258,0.4285714285714285,0.3333333333333333,0.3333333333333333,5
